feature,mean_abs_shap
amount_vs_iqr_upper,18.788271611525325
is_external_transfer,9.149410852734762
daily_amount_vs_iqr_upper,4.490438694491056
night_activity_count,4.058350945282636
daily_count_vs_iqr_upper,2.4777225568826124
is_new_beneficiary_after_history,2.0598745546939408
amount_vs_ca_balance,1.315827125755764
is_new_device_after_history,0.8446339260270326
uses_sms,0.8238152416551671
daily_activity_count,0.4706104180592225
amount_zscore_customer,0.3155750900963632
is_new_ip_after_history,0.2941635076666939
amount_vs_customer_p95,0.25730324090981593
daily_amount_ratio,0.22261795446488544
customer_daily_count_iqr_upper,0.16003003785105302
is_night_hour,0.06235975288427178
is_round_high_amount,0.04000910927219567
daily_txn_count,0.036832440959017686
rolling_60d_amount_sum,0.03379734256699671
rolling_30d_amount_sum,0.030693384697832254
rolling_90d_amount_sum,0.02772291549273791
beneficiary_customer_count,0.026313649886085998
amount_global_percentile,0.024513263992428543
log_trans_amount,0.023831790693570363
rolling_30d_external_transfer_count,0.01768318946188797
daily_txn_count_ratio,0.015580599724163369
max_activity_no_same_day,0.01462825967338162
rolling_90d_amount_avg,0.010493046597900017
ip_customer_count,0.010242136331614
rolling_30d_txn_count,0.009777418190033757
rolling_60d_txn_count,0.008755432961542702
rolling_90d_txn_count,0.008322868688845124
has_no_customer_beneficiary,0.008053899073056304
AVG_CA_BALANCE,0.007904588522700318
customer_amount_iqr_upper,0.007836860322356556
ib_tenure_days,0.0030606525372908473
beneficiary_is_customer,0.0025955901550934134
customer_daily_amount_iqr_upper,0.002509044388429873
customer_age,0.0020848375735268423
is_transfer,0.0016230348712010327
TRANS_HOUR,0.0014598307755489144
merchant_internal_credit_flag,0.0011633003721174028
daily_external_transfer_count,0.0008411932012834518
merchant_wallet_or_qr_flag,0.0007566477311941765
late_stage_activity_count,0.0006856495142170825
COUNT_CA_ACCT,0.0002579194408864957
AVG_TD_BALANCE,0.0002543513307426904
AVG_LOAN_AMOUNT,0.00018169118259900205
uses_strong_auth,0.00017595731338277277
COUNT_DEBITCARD,0.00015368001432768664
is_cashout_flow,0.00012777974759805335
INTEREST_RATE,7.742451825108149e-05
OUTSTANDING_BALANCE,5.774098891016788e-05
COUNT_CREDITCARD,4.1050938142095524e-05
is_weekend,3.8248688139874324e-05
TRANS_NO,3.6087565081204575e-05
TERM_LENDING,3.5830697971168215e-05
LIMIT_AMT,1.7648256214503255e-05
COUNT_TD_ACCT,9.291698470210441e-07
OVERDUE_CREDIT,1.1987192327623159e-08
COUNT_OF_LOAN,2.8953359625451046e-18
OVERDUE_LENDING,0.0
max_overdue_days,0.0
credit_risk_group_num,0.0
credit_utilization,0.0
device_customer_count,0.0
