transaction_row_id,CUSTOMER_NUMBER,risk_score_0_100,risk_band,primary_cause_branch,top_shap_drivers
1190934,554683,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=4.52 (SHAP +26.87); is_external_transfer=1 (SHAP +7.15); daily_amount_vs_iqr_upper=1.79 (SHAP +5.60); night_activity_count=6 (SHAP +4.83); is_new_beneficiary_after_history=1 (SHAP +0.99)
1190960,554683,100.0,Critical,Account takeover / identity compromise,amount_vs_iqr_upper=3.01 (SHAP +28.97); night_activity_count=3 (SHAP +9.30); is_external_transfer=1 (SHAP +7.81); is_new_beneficiary_after_history=1 (SHAP +1.24); daily_count_vs_iqr_upper=0.421 (SHAP -1.23)
1190967,554683,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=2.26 (SHAP +28.78); is_external_transfer=1 (SHAP +7.86); night_activity_count=11 (SHAP +5.70); daily_amount_vs_iqr_upper=1.06 (SHAP +2.48); is_new_beneficiary_after_history=1 (SHAP +0.95)
491211,542324,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=50 (SHAP +26.47); is_external_transfer=1 (SHAP +8.49); daily_amount_vs_iqr_upper=100 (SHAP +8.02); amount_vs_ca_balance=26.1 (SHAP +2.65); night_activity_count=0 (SHAP -1.21)
1190977,554683,100.0,Critical,Account takeover / identity compromise,amount_vs_iqr_upper=4.52 (SHAP +26.71); is_external_transfer=1 (SHAP +7.18); night_activity_count=3 (SHAP +6.39); daily_amount_vs_iqr_upper=1.61 (SHAP +5.51); daily_count_vs_iqr_upper=0.842 (SHAP -1.32)
1190781,675177,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=9.16 (SHAP +25.83); is_external_transfer=1 (SHAP +7.88); daily_amount_vs_iqr_upper=8.78 (SHAP +7.79); amount_vs_ca_balance=10.4 (SHAP +2.58); night_activity_count=0 (SHAP -1.27)
1190983,554683,100.0,Critical,Account takeover / identity compromise,amount_vs_iqr_upper=1.51 (SHAP +29.64); night_activity_count=6 (SHAP +10.99); is_external_transfer=1 (SHAP +7.57); daily_amount_vs_iqr_upper=0.358 (SHAP -1.81); daily_count_vs_iqr_upper=0.421 (SHAP -1.31)
101050,311094,100.0,Critical,Account takeover / identity compromise,amount_vs_iqr_upper=1.02 (SHAP +29.50); night_activity_count=3 (SHAP +10.43); is_external_transfer=1 (SHAP +7.94); daily_amount_vs_iqr_upper=0.527 (SHAP -1.73); daily_count_vs_iqr_upper=0.316 (SHAP -1.31)
309893,99647,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=14.2 (SHAP +25.86); daily_amount_vs_iqr_upper=9.75 (SHAP +7.85); is_external_transfer=1 (SHAP +7.83); amount_vs_ca_balance=12.6 (SHAP +2.57); night_activity_count=0 (SHAP -1.27)
779959,453289,100.0,Critical,Account takeover / identity compromise,is_new_device_after_history=1 (SHAP +24.02); is_external_transfer=1 (SHAP +15.38); night_activity_count=5 (SHAP +9.17); amount_vs_iqr_upper=0.0164 (SHAP -4.98); is_new_beneficiary_after_history=1 (SHAP +2.24)
695065,464418,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=2.16 (SHAP +28.59); daily_amount_vs_iqr_upper=1.49 (SHAP +9.25); is_external_transfer=1 (SHAP +7.39); night_activity_count=0 (SHAP -1.51); is_new_beneficiary_after_history=1 (SHAP +0.95)
1186478,693668,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=1.57 (SHAP +32.61); is_external_transfer=1 (SHAP +7.90); daily_amount_vs_iqr_upper=1.03 (SHAP +5.18); night_activity_count=0 (SHAP -1.70); is_new_beneficiary_after_history=1 (SHAP +0.93)
38233,682353,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=1.01 (SHAP +29.63); is_external_transfer=1 (SHAP +7.78); night_activity_count=5 (SHAP +5.44); daily_amount_vs_iqr_upper=1.22 (SHAP +3.13); daily_count_vs_iqr_upper=0.571 (SHAP -1.62)
312571,976764,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=3 (SHAP +24.33); is_external_transfer=1 (SHAP +7.24); daily_amount_vs_iqr_upper=2.11 (SHAP +5.91); night_activity_count=6 (SHAP +4.34); amount_vs_ca_balance=4.32 (SHAP +2.08)
781875,875883,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=1.23 (SHAP +25.86); is_external_transfer=1 (SHAP +8.11); daily_amount_vs_iqr_upper=1.27 (SHAP +7.81); amount_vs_ca_balance=3.58 (SHAP +2.57); night_activity_count=0 (SHAP -1.23)
1186416,464977,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=1.28 (SHAP +31.89); is_external_transfer=1 (SHAP +7.88); daily_amount_vs_iqr_upper=1.21 (SHAP +5.43); night_activity_count=0 (SHAP -1.68); is_new_beneficiary_after_history=1 (SHAP +0.94)
781873,875883,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=1.09 (SHAP +22.93); is_external_transfer=1 (SHAP +7.74); daily_amount_vs_iqr_upper=2.25 (SHAP +6.65); daily_count_vs_iqr_upper=2 (SHAP +5.04); amount_vs_ca_balance=3.17 (SHAP +2.34)
490525,430636,100.0,Critical,Account takeover / identity compromise,amount_vs_iqr_upper=1.1 (SHAP +29.94); night_activity_count=19 (SHAP +8.86); is_external_transfer=1 (SHAP +7.72); daily_count_vs_iqr_upper=0.769 (SHAP -1.31); is_new_beneficiary_after_history=1 (SHAP +1.25)
781852,875883,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=3.46 (SHAP +24.16); is_external_transfer=1 (SHAP +7.26); daily_amount_vs_iqr_upper=3.56 (SHAP +6.01); night_activity_count=4 (SHAP +4.15); amount_vs_ca_balance=8.27 (SHAP +2.08)
1186454,987558,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=2.33 (SHAP +29.35); daily_amount_vs_iqr_upper=1.65 (SHAP +9.59); is_external_transfer=1 (SHAP +7.55); night_activity_count=0 (SHAP -1.52); is_new_beneficiary_after_history=1 (SHAP +0.97)
1186457,693668,100.0,Critical,Unauthorized transfer / capital outflow,amount_vs_iqr_upper=2.98 (SHAP +28.32); daily_amount_vs_iqr_upper=1.95 (SHAP +9.24); is_external_transfer=1 (SHAP +7.45); night_activity_count=0 (SHAP -1.49); is_new_beneficiary_after_history=1 (SHAP +0.96)
